,lon,lat
2464884526,-152.5055793,57.7315909
2464884531,-152.5061394,57.7316994
2464884533,-152.5056299,57.7317466
2464884637,-152.4989621,57.7353897
2464884638,-152.4992131,57.7354105
2464884651,-152.4988151,57.735894
2464884653,-152.4990661,57.7359149
2479239429,-131.5951293,55.1237992
2479239434,-131.5934824,55.1233728
2479239456,-131.5937077,55.1227869
2479239465,-131.5944319,55.1236182
2479239469,-131.5929835,55.1231029
2479239482,-131.5939384,55.1228912
2479239505,-131.5935897,55.1233207
2479239509,-131.5934931,55.1227839
2479239515,-131.5940188,55.1229495
2479239517,-131.5929513,55.123155
2479239519,-131.5942173,55.1233544
2479239525,-131.5946089,55.1232716
2479239529,-131.594743,55.1236059
2479239534,-131.5952258,55.1237286
2479239541,-131.5945982,55.1237041
2479239555,-131.5947859,55.1233728
2479239563,-131.5950703,55.1235231
2479239565,-131.5949952,55.1234955
2479239590,-131.5947645,55.123428
2479239594,-131.5943192,55.1236059
2479239609,-131.5949469,55.1239004
2479239621,-131.5939759,55.1230814
2479239622,-131.5940242,55.1230109
2479239626,-131.5941047,55.1234556
2479239634,-131.5942066,55.123563
2479239651,-131.5931444,55.1232961
2479239655,-131.5945821,55.1235477
2479239661,-131.5933322,55.1233575
2479239664,-131.5929728,55.1231949
2479239691,-131.5951775,55.1235753
2479239693,-131.5952956,55.1236581
2479239695,-131.5947055,55.1238421
2479239703,-131.5947162,55.1233207
2479239704,-131.5949093,55.1235231
2479239706,-131.5948181,55.1238943
2479239716,-131.5941315,55.1235139
2479239724,-131.5944212,55.1232532
2479239726,-131.5952687,55.1236151
2479239730,-131.5945821,55.1237654
2479239738,-131.5936111,55.1227716
2479239750,-131.5945231,55.123247
2515282806,-135.3226064,59.4526442
2515282807,-135.3228128,59.4527473
2515282808,-135.3223502,59.4527766
2515282809,-135.3225565,59.4528797
2606919556,-135.3281198,59.4509352
2606919617,-135.3270577,59.4514914
2606919676,-135.3288708,59.4513224
2606919779,-135.3278194,59.4518677
2611367052,-160.3097217,61.5411107
2611367054,-160.3101509,61.5399859
2611367056,-160.3058379,61.5395666
2611367071,-160.3054109,61.5407293
2665797199,-160.5030083,55.3357764
2665797202,-160.5034776,55.3353325
2665797204,-160.5021966,55.3359962
2665797206,-160.5025882,55.3359077
2665797209,-160.5029144,55.3353309
2665797211,-160.5027947,55.3359351
2665797213,-160.5023066,55.3358985
2665797215,-160.5027588,55.335961
2665797217,-160.5030217,55.3352196
2665797219,-160.5029825,55.3359992
2665797222,-160.501982,55.3359321
2665797224,-160.5033462,55.3352806
2665797226,-160.5025228,55.3359656
2665797228,-160.5026891,55.3352608
2665797230,-160.5031611,55.3358298
2665822423,-160.5000137,55.3359217
2665822488,-160.5007349,55.3358446
2665822491,-160.5005128,55.3360764
2665822512,-160.5002357,55.3356899
2665822529,-160.5001915,55.3362304
2665822531,-160.4999859,55.3361637
2665822533,-160.500293,55.3360785
2665822535,-160.5002033,55.336168
2665822537,-160.5002415,55.3361804
2665822539,-160.4996595,55.3362192
2665822541,-160.5000914,55.3360132
2665822563,-160.4995096,55.3361717
2665822571,-160.4996599,55.3360641
2665822573,-160.4997757,55.3361008
2699851037,-145.5266419,62.100147
2699851038,-145.5330574,62.1001525
2699851039,-145.5330457,62.1014226
2699851043,-145.5310247,62.1020273
2699851045,-145.5265949,62.1022802
2699851046,-145.5282164,62.1022802
2703527887,-151.2217065,60.5458727
2703527889,-151.2218374,60.5460041
2703527891,-151.2207117,60.5461123
2703527894,-151.2208426,60.5462437
2706635370,-150.9963582,60.4989345
2706635371,-150.9965213,60.4989367
2706635372,-150.9962934,60.498982
2706635373,-150.9963555,60.4989828
2706635374,-150.9965186,60.498985
2706635375,-150.997025,60.4989918
2706635377,-150.9970175,60.499128
2706635378,-150.9970241,60.4991281
2706635381,-150.9962821,60.4991847
2706635383,-150.9968454,60.4991923
2706635384,-150.996838,60.4993261
2706635385,-150.997013,60.4993285
2800106192,-148.917338,63.732342
2800106195,-148.9175591,63.7323527
2800106239,-148.9173041,63.7324774
2800106250,-148.9172971,63.7325055
2800106253,-148.9173799,63.7325095
2800106261,-148.9175116,63.732516
2844442547,-135.325625,59.4534391
2844442548,-135.3254714,59.4533605
2844442549,-135.3251978,59.4534986
2844442550,-135.3255779,59.4536931
2844442551,-135.3257328,59.4536149
2844442552,-135.3255063,59.453499
2844442810,-135.3273159,59.4528333
2844442811,-135.3273141,59.4528556
2844442812,-135.327038,59.4528498
2844442813,-135.3270409,59.4528251
2844442814,-135.3272989,59.4528765
2844442815,-135.3272717,59.4528939
2844442816,-135.3272353,59.4529063
2844442817,-135.3271931,59.4529123
2844442818,-135.3271493,59.4529113
2844442819,-135.3271083,59.4529036
2844442820,-135.327074,59.4528898
2844442821,-135.3270497,59.4528712
2844442822,-135.3270602,59.4528025
2844442823,-135.3270935,59.4527846
2844442824,-135.3271369,59.4527735
2844442825,-135.3271851,59.4527707
2844442826,-135.3272324,59.4527764
2844442827,-135.3272729,59.4527899
2844442828,-135.3273019,59.4528097
2844442829,-135.3274161,59.4526615
2844442830,-135.32741,59.4526857
2844442831,-135.3271378,59.4526697
2844442832,-135.3271417,59.4526474
2844442833,-135.3273881,59.4527074
2844442834,-135.3273529,59.4527241
2844442835,-135.3273088,59.4527337
2844442836,-135.3272608,59.4527351
2844442837,-135.3272147,59.4527281
2844442838,-135.3271761,59.4527136
2844442839,-135.3271494,59.4526934
2844442840,-135.327159,59.4526269
2844442841,-135.327188,59.4526101
2844442842,-135.3272259,59.4525987
2844442843,-135.3272688,59.452594
2844442844,-135.3273125,59.4525962
2844442845,-135.3273527,59.4526053
2844442846,-135.3273854,59.4526202
2844442847,-135.3274072,59.4526396
2844442848,-135.3270654,59.4527083
2844442849,-135.327061,59.4527306
2844442850,-135.3267898,59.4527118
2844442851,-135.3267981,59.4526884
2844442852,-135.3270429,59.452751
2844442853,-135.3270131,59.4527675
2844442854,-135.3269745,59.4527784
2844442855,-135.3269312,59.4527825
2844442856,-135.3268875,59.4527795
2844442857,-135.3268479,59.4527696
2844442858,-135.3268165,59.4527539
2844442859,-135.3267964,59.452734
2844442860,-135.3268215,59.4526677
2844442861,-135.3268571,59.4526522
2844442862,-135.3269009,59.4526436
2844442863,-135.3269478,59.452643
2844442864,-135.3269923,59.4526505
2844442865,-135.3270294,59.452665
2844442866,-135.3270548,59.4526851
2852867322,-150.1032134,62.3154721
2852867368,-150.1029601,62.3155999
2852867376,-150.1030188,62.3154551
2933906186,-135.366597,57.0548453
2933906187,-135.366591,57.0547456
2933906188,-135.366147,57.0547537
2933906189,-135.366153,57.0548495
2933906190,-135.3657496,57.0548561
2933906191,-135.3657462,57.0548953
2933906192,-135.366286,57.0549588
2933906193,-135.3663,57.0551751
2933906194,-135.366695,57.0551679
2933906195,-135.366684,57.0550039
2933906196,-135.366614,57.0550052
2933906197,-135.366611,57.0549628
2933906198,-135.366854,57.0549584
2933906199,-135.366849,57.0548773
2936036928,-145.1322092,62.3915296
2936036929,-145.1319558,62.3916697
2936036930,-145.1317438,62.3915873
2936036931,-145.1319972,62.3914472
2958140667,-151.8363284,59.7836079
2962942534,-151.4070038,59.6811997
2962942535,-151.4067018,59.6812889
2962942537,-151.4071239,59.6813034
