,id,lon,lat
492,1725736453,-151.5569006,59.642063
493,1725736648,-151.5574504,59.6420625
494,1725946372,-151.5563765,59.6420644
495,1725946375,-151.5563963,59.6420643
496,1725946383,-151.55677,59.6419137
497,1725946395,-151.5563923,59.6419163
498,1725946406,-151.5566265,59.6420699
499,1725946422,-151.5566309,59.6422404
500,1725946426,-151.5563811,59.642242
501,1725946435,-151.5567742,59.642069
502,1738333738,-151.5508834,59.6431792
503,1738333759,-151.5505253,59.6430421
504,1738333817,-151.5508832,59.6431588
505,1738333823,-151.5505262,59.6431774
506,1738333837,-151.5510202,59.6431789
507,1738333842,-151.55102,59.643154
508,1738333855,-151.5512937,59.6430408
509,1738333856,-151.550697,59.6431772
510,1738333860,-151.5506968,59.6431592
511,1738333900,-151.551134,59.6431538
512,1738333901,-151.5511342,59.6431792
513,1738333903,-151.5512946,59.6431789
521,1944963259,-149.0971293,60.970678
522,1944963260,-149.0970908,60.9706163
603,2043352248,-151.2532659,59.7164671
604,2043352249,-151.2533072,59.7163959
605,2043352250,-151.2532042,59.716425
606,2043352251,-151.25323,59.7164015
607,2043352252,-151.2533489,59.7164408
608,2043352253,-151.2532917,59.7164669
609,2043352254,-151.2533517,59.7164278
610,2043352255,-151.2532187,59.7164529
611,2043352256,-151.2533187,59.7164613
612,2043352257,-151.2532776,59.7163928
613,2043352258,-151.2533374,59.7164524
614,2043352259,-151.2532122,59.7164126
615,2043352260,-151.2532069,59.7164413
616,2043352261,-151.2533287,59.716403
617,2043352262,-151.2533441,59.7164135
618,2043352263,-151.2532523,59.716395
619,2043352264,-151.2532416,59.7164629
620,2055571170,-151.4228718,59.3765719
621,2055571171,-151.4227176,59.3765638
622,2055571182,-151.4228095,59.3766159
623,2055571183,-151.4227825,59.3765239
624,2059835429,-151.0857855,59.7875818
687,2110733527,-151.5458602,59.6400657
688,2110733539,-151.545865,59.6399601
689,2110733541,-151.5467259,59.6399702
690,2110733590,-151.546721,59.6400758
691,2131765525,-151.4946949,59.6423908
692,2131765550,-151.4952189,59.6427555
693,2131765561,-151.4949802,59.6428431
694,2131765562,-151.4944562,59.6424784
695,2131781747,-151.4940091,59.6426023
