id,lon,lat
322949633,-149.8709446,61.1281046
322949634,-149.8717432,61.1280726
322949635,-149.8716828,61.1276487
322949729,-149.8723355,61.1295687
322949731,-149.8722325,61.1289719
322949732,-149.8717261,61.1289885
322949733,-149.8717175,61.1289181
322949734,-149.8712025,61.1289346
322949735,-149.8713484,61.1297593
322949736,-149.8720265,61.1297303
322949737,-149.8720007,61.1295811
323158234,-149.8423668,61.1024082
323158235,-149.8418163,61.1018768
323158237,-149.8411761,61.1020333
323158238,-149.8417314,61.1025636
410734040,-150.1759955,67.2507506
412521367,-146.3512539,61.1259118
450881078,-147.7210118,64.8434437
450881079,-147.7211298,64.8436895
450881080,-147.720742,64.843646
450881081,-147.7206133,64.8436716
450881082,-147.7203022,64.8437173
450881083,-147.7202182,64.8436906
450881084,-147.7195702,64.843743
450881085,-147.7194794,64.8435757
542547431,-134.5786677,58.3579777
542547436,-134.5790036,58.3579537
542547442,-134.5790575,58.3578384
542547446,-134.5791611,58.3576405
542547451,-134.5792275,58.3575056
542547464,-134.5776684,58.3572837
542547471,-134.5771666,58.3577732
542547475,-134.577121,58.3578645
542547480,-134.5770547,58.3577492
542547484,-134.5775315,58.3576361
542547489,-134.5774776,58.3577492
542547494,-134.5775937,58.3574186
542547501,-134.5779518,58.3576918
542547506,-134.5778436,58.3576775
542547554,-134.5786179,58.3580734
542547559,-134.5770091,58.3578471
542547566,-134.576441,58.3576666
542547573,-134.5763954,58.3577623
654289396,-149.4405645,60.1175738
654413169,-146.3490446,61.1297845
654585009,-145.5370382,62.1069997
655195021,-150.0938063,62.308625
760022572,-147.8252771,64.8561726
760022574,-147.8250576,64.8562363
760022576,-147.8245681,64.8559305
760022578,-147.824788,64.855867
760022693,-147.8431317,64.8575339
760022696,-147.8421841,64.8574712
760022700,-147.8421872,64.8573783
760022703,-147.8429731,64.857383
760022854,-147.8483944,64.8581909
760022857,-147.8490045,64.8582817
760023070,-147.8213491,64.8587893
760023073,-147.821347,64.8584877
760023076,-147.8211395,64.8584873
760023080,-147.8211366,64.8587889
760023096,-147.8241351,64.8584976
760023100,-147.8235455,64.8584178
760023105,-147.8236317,64.8583602
760023110,-147.8239665,64.8584507
760023114,-147.8243485,64.8581956
760023141,-147.8309681,64.8585496
760023144,-147.830272,64.8585501
760023148,-147.8297054,64.8587993
760023156,-147.8284094,64.8585477
760023159,-147.8284086,64.8583377
760023162,-147.8290905,64.8583373
760023174,-147.8297043,64.8584944
760023181,-147.8302712,64.8583331
760023183,-147.8309674,64.8583326
760023204,-147.8241375,64.8567933
760023206,-147.8235662,64.8567095
760023208,-147.8230217,64.8567727
760023213,-147.8229842,64.8566816
760023216,-147.8234844,64.8566012
760023220,-147.823644,64.8564548
760023224,-147.8238223,64.8564864
760023229,-147.823707,64.8565947
760023233,-147.8242475,64.856685
760145281,-147.8239563,64.8606942
760145282,-147.8237033,64.8606934
760145283,-147.8236742,64.8602738
760145285,-147.8252932,64.8606122
760145286,-147.8252881,64.8604411
760145287,-147.8254028,64.8604405
760145288,-147.8254002,64.8603528
760145289,-147.8252407,64.8603536
760145290,-147.825113,64.8606132
760145291,-147.8263866,64.8604322
760145294,-147.8262036,64.8604733
760725109,-147.7219306,64.8454629
760725111,-147.7214782,64.8454327
760725112,-147.721578,64.8451741
