,lon,lat
322664741,-149.851079,61.1739559
322664742,-149.8512764,61.1738276
322664744,-149.8509159,61.1737076
322664745,-149.8507442,61.1738111
322664746,-149.8505812,61.173749
322664747,-149.8501949,61.17396
322664748,-149.8499374,61.1738607
322664749,-149.8495169,61.1741256
322664962,-149.8530919,61.1754705
322664966,-149.8505053,61.175063
322664971,-149.8494184,61.1746263
322664974,-149.8482778,61.1746148
322664979,-149.8477174,61.1741217
322664982,-149.8476932,61.1736372
322914084,-149.8320424,61.1303603
322914085,-149.831054,61.1302936
322914086,-149.8309059,61.130346
322914087,-149.829932,61.1297595
322914088,-149.829549,61.1298418
322914089,-149.8283541,61.1297812
322914090,-149.8283026,61.1300299
322914091,-149.8297746,61.1301112
322914092,-149.8295385,61.1302039
322914093,-149.8307704,61.1309486
322914094,-149.8311548,61.1308053
322914095,-149.8309525,61.1306678
322914096,-149.8310626,61.1306299
322914097,-149.8319606,61.1306717
322918021,-149.8402666,61.1363166
322918022,-149.840268,61.1354995
322918024,-149.8368593,61.1355121
322918025,-149.8368734,61.1363115
322933827,-149.8308004,61.1327444
322933833,-149.8301279,61.1332448
322933834,-149.8301229,61.1330215
322933835,-149.8308065,61.133018
322934229,-149.8308861,61.1327027
322934230,-149.8302938,61.1323132
322934231,-149.8297359,61.1323256
322934232,-149.8289635,61.1326613
322934556,-149.8298561,61.1316294
322934558,-149.8275215,61.1316502
322934561,-149.8275816,61.132827
322934563,-149.8280966,61.1332952
322934564,-149.8281481,61.1335024
322934565,-149.8289721,61.1339168
322934567,-149.831444,61.1339002
322934568,-149.8315298,61.1336433
322934569,-149.8311865,61.1330632
322934570,-149.8317101,61.1328974
322934572,-149.8317959,61.132595
322934573,-149.8308861,61.1320521
322934576,-149.830517,61.1320397
322934881,-149.8304036,61.1300153
322947773,-149.871007,61.1425707
322947775,-149.8693354,61.1425715
322947776,-149.8693345,61.1427826
322947777,-149.8688493,61.1427821
322947778,-149.8688488,61.1429006
322947780,-149.8680888,61.1428998
322947781,-149.8679038,61.1430037
322947782,-149.8673411,61.1430066
322947783,-149.8673421,61.142862
322947784,-149.867636,61.1428615
322947785,-149.8676349,61.1427013
322947787,-149.868048,61.1427006
322947788,-149.8680443,61.1421416
322947789,-149.8661785,61.1421445
322947790,-149.8661823,61.1427053
322947795,-149.8668626,61.1427042
322947796,-149.8668637,61.1428628
322947797,-149.8671534,61.1428623
322947799,-149.8671534,61.1430323
322947800,-149.8666393,61.1430318
322947801,-149.8666398,61.1429225
322947802,-149.8663283,61.1429222
322947803,-149.8663278,61.1430323
322947804,-149.8650837,61.143031
322947808,-149.8650814,61.1435364
322947810,-149.8674976,61.1435214
322947812,-149.8675448,61.1437701
322949629,-149.8718806,61.1276375
322949630,-149.8717772,61.1271099
322949632,-149.8707905,61.1271443
322949633,-149.8709446,61.1281046
322949634,-149.8717432,61.1280726
322949635,-149.8716828,61.1276487
322949729,-149.8723355,61.1295687
